Pos,FG%,3PA,2P%,eFG%,ORB,DRB,TRB,BLK,Proximity
0,0.538,0.0,0.542,0.538,2.8,6.1,8.8,0.9,0
0,0.61,0.0,0.613,0.61,3.9,6.4,10.3,1.0,0
2,0.432,4.6,0.475,0.507,0.7,3.4,4.1,0.2,1
3,0.361,1.7,0.423,0.403,1.4,1.7,3.0,0.3,1
3,0.431,0.8,0.473,0.436,0.6,2.9,3.5,0.2,1
1,0.518,5.5,0.568,0.57,0.5,6.9,7.4,0.9,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.441,8.4,0.519,0.527,0.9,3.9,4.8,0.6,1
2,0.3,4.0,0.357,0.367,0.5,1.0,1.5,0.0,1
4,0.412,2.8,0.473,0.502,0.9,2.7,3.6,0.5,1
2,0.25,2.0,0.0,0.375,0.0,1.5,1.5,0.0,1
4,0.393,2.2,0.462,0.453,1.1,2.8,3.9,0.3,1
2,0.414,4.9,0.615,0.586,0.2,1.6,1.8,0.1,1
0,0.499,3.7,0.529,0.534,2.1,9.6,11.7,1.5,0
4,0.458,1.1,0.5,0.521,0.7,1.0,1.7,0.3,1
4,0.286,1.0,0.2,0.357,1.0,1.5,2.5,0.5,1
4,0.636,2.0,0.714,0.727,1.0,1.5,2.5,0.5,1
4,0.333,0.7,0.5,0.333,0.3,0.3,0.7,0.0,1
0,0.596,0.3,0.621,0.602,1.8,3.5,5.4,0.6,0
0,0.528,0.2,0.55,0.531,1.3,2.7,4.0,0.6,0
0,0.646,0.7,0.675,0.656,3.0,5.5,8.5,0.5,0
0,0.417,0.0,0.417,0.417,0.6,1.5,2.1,0.5,0
0,0.516,0.4,0.554,0.522,1.5,3.2,4.7,0.3,0
0,0.655,0.1,0.66,0.664,0.6,1.2,1.8,0.4,0
0,0.5,0.1,0.462,0.536,0.4,0.4,0.8,0.2,0
0,0.707,0.1,0.725,0.707,1.1,2.9,4.0,0.8,0
